Category Code,Diagnosis Code,Full Code,Abbreviated Description,Full Description,Category Title
I8301,2,I83012,Varicose veins of right lower extremity with ulcer of calf,Varicose veins of right lower extremity with ulcer of calf,Varicose veins of right lower extremity with ulcer
I8301,3,I83013,Varicose veins of right lower extremity with ulcer of ankle,Varicose veins of right lower extremity with ulcer of ankle,Varicose veins of right lower extremity with ulcer
I8301,4,I83014,Varicose veins of r low extrem w ulcer of heel and midfoot,Varicose veins of right lower extremity with ulcer of heel and midfoot,Varicose veins of right lower extremity with ulcer
I8301,5,I83015,Varicose veins of r low extrem w ulcer oth part of foot,Varicose veins of right lower extremity with ulcer other part of foot,Varicose veins of right lower extremity with ulcer
I8301,8,I83018,Varicose veins of r low extrem w ulcer oth part of lower leg,Varicose veins of right lower extremity with ulcer other part of lower leg,Varicose veins of right lower extremity with ulcer
I8301,9,I83019,Varicose veins of right lower extremity w ulcer of unsp site,Varicose veins of right lower extremity with ulcer of unspecified site,Varicose veins of right lower extremity with ulcer
I8302,1,I83021,Varicose veins of left lower extremity with ulcer of thigh,Varicose veins of left lower extremity with ulcer of thigh,Varicose veins of left lower extremity with ulcer
I8302,2,I83022,Varicose veins of left lower extremity with ulcer of calf,Varicose veins of left lower extremity with ulcer of calf,Varicose veins of left lower extremity with ulcer
I8302,3,I83023,Varicose veins of left lower extremity with ulcer of ankle,Varicose veins of left lower extremity with ulcer of ankle,Varicose veins of left lower extremity with ulcer
I8302,4,I83024,Varicose veins of l low extrem w ulcer of heel and midfoot,Varicose veins of left lower extremity with ulcer of heel and midfoot,Varicose veins of left lower extremity with ulcer
I8302,5,I83025,Varicose veins of l low extrem w ulcer oth part of foot,Varicose veins of left lower extremity with ulcer other part of foot,Varicose veins of left lower extremity with ulcer
I8302,8,I83028,Varicose veins of l low extrem w ulcer oth part of lower leg,Varicose veins of left lower extremity with ulcer other part of lower leg,Varicose veins of left lower extremity with ulcer
I8302,9,I83029,Varicose veins of left lower extremity w ulcer of unsp site,Varicose veins of left lower extremity with ulcer of unspecified site,Varicose veins of left lower extremity with ulcer
I831,0,I8310,Varicose veins of unsp lower extremity with inflammation,Varicose veins of unspecified lower extremity with inflammation,Varicose veins of lower extremities with inflammation
I831,1,I8311,Varicose veins of right lower extremity with inflammation,Varicose veins of right lower extremity with inflammation,Varicose veins of lower extremities with inflammation
I831,2,I8312,Varicose veins of left lower extremity with inflammation,Varicose veins of left lower extremity with inflammation,Varicose veins of lower extremities with inflammation
I8320,1,I83201,Varicos vn unsp low extrm w ulc of thigh and inflammation,Varicose veins of unspecified lower extremity with both ulcer of thigh and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8320,2,I83202,Varicos vn unsp low extrm w ulc of calf and inflammation,Varicose veins of unspecified lower extremity with both ulcer of calf and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8320,3,I83203,Varicos vn unsp low extrm w ulc of ankle and inflammation,Varicose veins of unspecified lower extremity with both ulcer of ankle and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8320,4,I83204,Varicos vn unsp low extrm w ulc of heel and midft and inflam,Varicose veins of unspecified lower extremity with both ulcer of heel and midfoot and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8320,5,I83205,Varicos vn unsp low extrm w ulc oth part of foot and inflam,Varicose veins of unspecified lower extremity with both ulcer other part of foot and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8320,8,I83208,Varicos vn unsp low extrm w ulc oth prt low extrm and inflam,Varicose veins of unspecified lower extremity with both ulcer of other part of lower extremity and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8320,9,I83209,Varicos vn unsp low extrm w ulc of unsp site and inflam,Varicose veins of unspecified lower extremity with both ulcer of unspecified site and inflammation,Varicose veins of unspecified lower extremity with both ulcer and inflammation
I8321,1,I83211,Varicos vn of r low extrem w ulc of thigh and inflammation,Varicose veins of right lower extremity with both ulcer of thigh and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8321,2,I83212,Varicos vn of r low extrem w ulc of calf and inflammation,Varicose veins of right lower extremity with both ulcer of calf and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8321,3,I83213,Varicos vn of r low extrem w ulc of ankle and inflammation,Varicose veins of right lower extremity with both ulcer of ankle and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8321,4,I83214,Varicos vn of r low extrem w ulc of heel & midft and inflam,Varicose veins of right lower extremity with both ulcer of heel and midfoot and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8321,5,I83215,Varicos vn of r low extrem w ulc oth part of foot and inflam,Varicose veins of right lower extremity with both ulcer other part of foot and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8321,8,I83218,Varicos vn of r low extrem w ulc oth prt low extrm & inflam,Varicose veins of right lower extremity with both ulcer of other part of lower extremity and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8321,9,I83219,Varicos vn of r low extrem w ulc of unsp site and inflam,Varicose veins of right lower extremity with both ulcer of unspecified site and inflammation,Varicose veins of right lower extremity with both ulcer and inflammation
I8322,1,I83221,Varicos vn of l low extrem w ulc of thigh and inflammation,Varicose veins of left lower extremity with both ulcer of thigh and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8322,2,I83222,Varicos vn of l low extrem w ulc of calf and inflammation,Varicose veins of left lower extremity with both ulcer of calf and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8322,3,I83223,Varicos vn of l low extrem w ulc of ankle and inflammation,Varicose veins of left lower extremity with both ulcer of ankle and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8322,4,I83224,Varicos vn of l low extrem w ulc of heel & midft and inflam,Varicose veins of left lower extremity with both ulcer of heel and midfoot and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8322,5,I83225,Varicos vn of l low extrem w ulc oth part of foot and inflam,Varicose veins of left lower extremity with both ulcer other part of foot and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8322,8,I83228,Varicos vn of l low extrem w ulc oth prt low extrm & inflam,Varicose veins of left lower extremity with both ulcer of other part of lower extremity and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8322,9,I83229,Varicos vn of l low extrem w ulc of unsp site and inflam,Varicose veins of left lower extremity with both ulcer of unspecified site and inflammation,Varicose veins of left lower extremity with both ulcer and inflammation
I8381,1,I83811,Varicose veins of right lower extremity with pain,Varicose veins of right lower extremity with pain,Varicose veins of lower extremities with pain
I8381,2,I83812,Varicose veins of left lower extremity with pain,Varicose veins of left lower extremity with pain,Varicose veins of lower extremities with pain
I8381,3,I83813,Varicose veins of bilateral lower extremities with pain,Varicose veins of bilateral lower extremities with pain,Varicose veins of lower extremities with pain
I8381,9,I83819,Varicose veins of unspecified lower extremity with pain,Varicose veins of unspecified lower extremity with pain,Varicose veins of lower extremities with pain
I8389,1,I83891,Varicose veins of r low extrem with other complications,Varicose veins of right lower extremity with other complications,Varicose veins of lower extremities with other complications
I8389,2,I83892,Varicose veins of l low extrem with other complications,Varicose veins of left lower extremity with other complications,Varicose veins of lower extremities with other complications
I8389,3,I83893,Varicose veins of bi low extrem w oth complications,Varicose veins of bilateral lower extremities with other complications,Varicose veins of lower extremities with other complications
I8389,9,I83899,Varicos vn unsp lower extremity with other complications,Varicose veins of unspecified lower extremity with other complications,Varicose veins of lower extremities with other complications
I839,0,I8390,Asymptomatic varicose veins of unspecified lower extremity,Asymptomatic varicose veins of unspecified lower extremity,Asymptomatic varicose veins of lower extremities
I839,1,I8391,Asymptomatic varicose veins of right lower extremity,Asymptomatic varicose veins of right lower extremity,Asymptomatic varicose veins of lower extremities
I839,2,I8392,Asymptomatic varicose veins of left lower extremity,Asymptomatic varicose veins of left lower extremity,Asymptomatic varicose veins of lower extremities
I839,3,I8393,Asymptomatic varicose veins of bilateral lower extremities,Asymptomatic varicose veins of bilateral lower extremities,Asymptomatic varicose veins of lower extremities
I850,0,I8500,Esophageal varices without bleeding,Esophageal varices without bleeding,Esophageal varices
I850,1,I8501,Esophageal varices with bleeding,Esophageal varices with bleeding,Esophageal varices
I851,0,I8510,Secondary esophageal varices without bleeding,Secondary esophageal varices without bleeding,Secondary esophageal varices
I851,1,I8511,Secondary esophageal varices with bleeding,Secondary esophageal varices with bleeding,Secondary esophageal varices
I86,0,I860,Sublingual varices,Sublingual varices,Varicose veins of other sites
I86,1,I861,Scrotal varices,Scrotal varices,Varicose veins of other sites
I86,2,I862,Pelvic varices,Pelvic varices,Varicose veins of other sites
I86,3,I863,Vulval varices,Vulval varices,Varicose veins of other sites
I86,4,I864,Gastric varices,Gastric varices,Varicose veins of other sites
I86,8,I868,Varicose veins of other specified sites,Varicose veins of other specified sites,Varicose veins of other sites
I8700,1,I87001,Postthrombotic syndrome w/o complications of r low extrem,Postthrombotic syndrome without complications of right lower extremity,Postthrombotic syndrome without complications
I8700,2,I87002,Postthrombotic syndrome w/o complications of l low extrem,Postthrombotic syndrome without complications of left lower extremity,Postthrombotic syndrome without complications
I8700,3,I87003,Postthrom syndrome w/o complications of bilateral low extrm,Postthrombotic syndrome without complications of bilateral lower extremity,Postthrombotic syndrome without complications
I8700,9,I87009,Postthrombotic syndrome w/o complications of unsp extremity,Postthrombotic syndrome without complications of unspecified extremity,Postthrombotic syndrome without complications
I8701,1,I87011,Postthrombotic syndrome with ulcer of right lower extremity,Postthrombotic syndrome with ulcer of right lower extremity,Postthrombotic syndrome with ulcer
I8701,2,I87012,Postthrombotic syndrome with ulcer of left lower extremity,Postthrombotic syndrome with ulcer of left lower extremity,Postthrombotic syndrome with ulcer
I8701,3,I87013,Postthrombotic syndrome w ulcer of bilateral lower extremity,Postthrombotic syndrome with ulcer of bilateral lower extremity,Postthrombotic syndrome with ulcer
I8701,9,I87019,Postthrombotic syndrome with ulcer of unsp lower extremity,Postthrombotic syndrome with ulcer of unspecified lower extremity,Postthrombotic syndrome with ulcer
I8702,1,I87021,Postthrombotic syndrome w inflammation of r low extrem,Postthrombotic syndrome with inflammation of right lower extremity,Postthrombotic syndrome with inflammation
I8702,2,I87022,Postthrombotic syndrome w inflammation of l low extrem,Postthrombotic syndrome with inflammation of left lower extremity,Postthrombotic syndrome with inflammation
I8702,3,I87023,Postthrom syndrome w inflammation of bilateral low extrm,Postthrombotic syndrome with inflammation of bilateral lower extremity,Postthrombotic syndrome with inflammation
I8702,9,I87029,Postthrombotic syndrome w inflammation of unsp low extrm,Postthrombotic syndrome with inflammation of unspecified lower extremity,Postthrombotic syndrome with inflammation
I8703,1,I87031,Postthrom syndrome w ulcer and inflammation of r low extrem,Postthrombotic syndrome with ulcer and inflammation of right lower extremity,Postthrombotic syndrome with ulcer and inflammation
I8703,2,I87032,Postthrom syndrome w ulcer and inflammation of l low extrem,Postthrombotic syndrome with ulcer and inflammation of left lower extremity,Postthrombotic syndrome with ulcer and inflammation
I8703,3,I87033,Postthrom syndrome w ulcer and inflam of bilateral low extrm,Postthrombotic syndrome with ulcer and inflammation of bilateral lower extremity,Postthrombotic syndrome with ulcer and inflammation
I8703,9,I87039,Postthrom syndrome w ulcer and inflam of unsp low extrm,Postthrombotic syndrome with ulcer and inflammation of unspecified lower extremity,Postthrombotic syndrome with ulcer and inflammation
I8709,1,I87091,Postthrombotic syndrome w oth complications of r low extrem,Postthrombotic syndrome with other complications of right lower extremity,Postthrombotic syndrome with other complications
I8709,2,I87092,Postthrombotic syndrome w oth complications of l low extrem,Postthrombotic syndrome with other complications of left lower extremity,Postthrombotic syndrome with other complications
I8709,3,I87093,Postthrom syndrome w oth comp of bilateral low extrm,Postthrombotic syndrome with other complications of bilateral lower extremity,Postthrombotic syndrome with other complications
I8709,9,I87099,Postthrom syndrome w oth complications of unsp low extrm,Postthrombotic syndrome with other complications of unspecified lower extremity,Postthrombotic syndrome with other complications
I871,,I871,Compression of vein,Compression of vein,Compression of vein
I872,,I872,Venous insufficiency (chronic) (peripheral),Venous insufficiency (chronic) (peripheral),Venous insufficiency (chronic) (peripheral)
I8730,1,I87301,Chronic venous hypertension w/o comp of r low extrem,Chronic venous hypertension (idiopathic) without complications of right lower extremity,Chronic venous hypertension (idiopathic) without complications
I8730,2,I87302,Chronic venous hypertension w/o comp of l low extrem,Chronic venous hypertension (idiopathic) without complications of left lower extremity,Chronic venous hypertension (idiopathic) without complications
I8730,3,I87303,Chronic venous hypertension w/o comp of bilateral low extrm,Chronic venous hypertension (idiopathic) without complications of bilateral lower extremity,Chronic venous hypertension (idiopathic) without complications
I8730,9,I87309,Chronic venous hypertension w/o comp of unsp low extrm,Chronic venous hypertension (idiopathic) without complications of unspecified lower extremity,Chronic venous hypertension (idiopathic) without complications
I8731,1,I87311,Chronic venous hypertension w ulcer of r low extrem,Chronic venous hypertension (idiopathic) with ulcer of right lower extremity,Chronic venous hypertension (idiopathic) with ulcer
I8731,2,I87312,Chronic venous hypertension w ulcer of l low extrem,Chronic venous hypertension (idiopathic) with ulcer of left lower extremity,Chronic venous hypertension (idiopathic) with ulcer
I8731,3,I87313,Chronic venous hypertension w ulcer of bilateral low extrm,Chronic venous hypertension (idiopathic) with ulcer of bilateral lower extremity,Chronic venous hypertension (idiopathic) with ulcer
I8731,9,I87319,Chronic venous hypertension w ulcer of unsp low extrm,Chronic venous hypertension (idiopathic) with ulcer of unspecified lower extremity,Chronic venous hypertension (idiopathic) with ulcer
I8732,1,I87321,Chronic venous hypertension w inflammation of r low extrem,Chronic venous hypertension (idiopathic) with inflammation of right lower extremity,Chronic venous hypertension (idiopathic) with inflammation
I8732,2,I87322,Chronic venous hypertension w inflammation of l low extrem,Chronic venous hypertension (idiopathic) with inflammation of left lower extremity,Chronic venous hypertension (idiopathic) with inflammation
I8732,3,I87323,Chronic venous htn w inflammation of bilateral low extrm,Chronic venous hypertension (idiopathic) with inflammation of bilateral lower extremity,Chronic venous hypertension (idiopathic) with inflammation
I8732,9,I87329,Chronic venous hypertension w inflammation of unsp low extrm,Chronic venous hypertension (idiopathic) with inflammation of unspecified lower extremity,Chronic venous hypertension (idiopathic) with inflammation
I8733,1,I87331,Chronic venous htn w ulcer and inflammation of r low extrem,Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity,Chronic venous hypertension (idiopathic) with ulcer and inflammation
I8733,2,I87332,Chronic venous htn w ulcer and inflammation of l low extrem,Chronic venous hypertension (idiopathic) with ulcer and inflammation of left lower extremity,Chronic venous hypertension (idiopathic) with ulcer and inflammation
I8733,3,I87333,Chronic venous htn w ulcer and inflam of bilateral low extrm,Chronic venous hypertension (idiopathic) with ulcer and inflammation of bilateral lower extremity,Chronic venous hypertension (idiopathic) with ulcer and inflammation
I8733,9,I87339,Chronic venous htn w ulcer and inflam of unsp low extrm,Chronic venous hypertension (idiopathic) with ulcer and inflammation of unspecified lower extremity,Chronic venous hypertension (idiopathic) with ulcer and inflammation
I8739,1,I87391,Chronic venous hypertension w oth comp of r low extrem,Chronic venous hypertension (idiopathic) with other complications of right lower extremity,Chronic venous hypertension (idiopathic) with other complications
I8739,2,I87392,Chronic venous hypertension w oth comp of l low extrem,Chronic venous hypertension (idiopathic) with other complications of left lower extremity,Chronic venous hypertension (idiopathic) with other complications
I8739,3,I87393,Chronic venous htn w oth comp of bilateral low extrm,Chronic venous hypertension (idiopathic) with other complications of bilateral lower extremity,Chronic venous hypertension (idiopathic) with other complications
I8739,9,I87399,Chronic venous hypertension w oth comp of unsp low extrm,Chronic venous hypertension (idiopathic) with other complications of unspecified lower extremity,Chronic venous hypertension (idiopathic) with other complications
I878,,I878,Other specified disorders of veins,Other specified disorders of veins,Other specified disorders of veins
I879,,I879,"Disorder of vein, unspecified","Disorder of vein, unspecified","Disorder of vein, unspecified"
I88,0,I880,Nonspecific mesenteric lymphadenitis,Nonspecific mesenteric lymphadenitis,Nonspecific lymphadenitis
I88,1,I881,"Chronic lymphadenitis, except mesenteric","Chronic lymphadenitis, except mesenteric",Nonspecific lymphadenitis
I88,8,I888,Other nonspecific lymphadenitis,Other nonspecific lymphadenitis,Nonspecific lymphadenitis
I88,9,I889,"Nonspecific lymphadenitis, unspecified","Nonspecific lymphadenitis, unspecified",Nonspecific lymphadenitis
I89,0,I890,"Lymphedema, not elsewhere classified","Lymphedema, not elsewhere classified",Other noninfective disorders of lymphatic vessels and lymph nodes
I89,1,I891,Lymphangitis,Lymphangitis,Other noninfective disorders of lymphatic vessels and lymph nodes
I89,8,I898,Oth noninfective disorders of lymphatic vessels and nodes,Other specified noninfective disorders of lymphatic vessels and lymph nodes,Other noninfective disorders of lymphatic vessels and lymph nodes
I89,9,I899,"Noninfective disorder of lymphatic vessels and nodes, unsp","Noninfective disorder of lymphatic vessels and lymph nodes, unspecified",Other noninfective disorders of lymphatic vessels and lymph nodes
I95,0,I950,Idiopathic hypotension,Idiopathic hypotension,Hypotension
I95,1,I951,Orthostatic hypotension,Orthostatic hypotension,Hypotension
I95,2,I952,Hypotension due to drugs,Hypotension due to drugs,Hypotension
I95,3,I953,Hypotension of hemodialysis,Hypotension of hemodialysis,Hypotension
I958,1,I9581,Postprocedural hypotension,Postprocedural hypotension,Other hypotension
I958,9,I9589,Other hypotension,Other hypotension,Other hypotension
I959,,I959,"Hypotension, unspecified","Hypotension, unspecified","Hypotension, unspecified"
I96,,I96,"Gangrene, not elsewhere classified","Gangrene, not elsewhere classified","Gangrene, not elsewhere classified"
I97,0,I970,Postcardiotomy syndrome,Postcardiotomy syndrome,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
I9711,0,I97110,Postproc cardiac insufficiency following cardiac surgery,Postprocedural cardiac insufficiency following cardiac surgery,Postprocedural cardiac insufficiency
I9711,1,I97111,Postprocedural cardiac insufficiency following other surgery,Postprocedural cardiac insufficiency following other surgery,Postprocedural cardiac insufficiency
I9712,0,I97120,Postprocedural cardiac arrest following cardiac surgery,Postprocedural cardiac arrest following cardiac surgery,Postprocedural cardiac arrest
I9712,1,I97121,Postprocedural cardiac arrest following other surgery,Postprocedural cardiac arrest following other surgery,Postprocedural cardiac arrest
I9713,0,I97130,Postprocedural heart failure following cardiac surgery,Postprocedural heart failure following cardiac surgery,Postprocedural heart failure
I9713,1,I97131,Postprocedural heart failure following other surgery,Postprocedural heart failure following other surgery,Postprocedural heart failure
I9719,0,I97190,Oth postproc cardiac functn disturb fol cardiac surgery,Other postprocedural cardiac functional disturbances following cardiac surgery,Other postprocedural cardiac functional disturbances
I9719,1,I97191,Oth postproc cardiac functn disturb following oth surgery,Other postprocedural cardiac functional disturbances following other surgery,Other postprocedural cardiac functional disturbances
I972,,I972,Postmastectomy lymphedema syndrome,Postmastectomy lymphedema syndrome,Postmastectomy lymphedema syndrome
I973,,I973,Postprocedural hypertension,Postprocedural hypertension,Postprocedural hypertension
I9741,0,I97410,Intraoperative hemor/hemtom of a circ sys org comp card cath,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac catheterization,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a circulatory system procedure
I9741,1,I97411,Intraop hemor/hemtom of a circ sys org comp card bypass,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a cardiac bypass,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a circulatory system procedure
I9741,8,I97418,Intraop hemor/hemtom of circ sys org comp oth circ sys proc,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other circulatory system procedure,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating a circulatory system procedure
I9742,,I9742,Intraop hemor/hemtom of a circ sys org comp oth procedure,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other procedure,Intraoperative hemorrhage and hematoma of a circulatory system organ or structure complicating other procedure
I975,1,I9751,Acc pnctr & lac of a circ sys org during a circ sys proc,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,Accidental puncture and laceration of a circulatory system organ or structure during a procedure
I975,2,I9752,Acc pnctr & lac of a circ sys org during oth procedure,Accidental puncture and laceration of a circulatory system organ or structure during other procedure,Accidental puncture and laceration of a circulatory system organ or structure during a procedure
I9761,0,I97610,Postproc hemor of a circ sys org following a cardiac cath,Postprocedural hemorrhage of a circulatory system organ or structure following a cardiac catheterization,Postprocedural hemorrhage of a circulatory system organ or structure following a circulatory system procedure
I9761,1,I97611,Postproc hemor of a circ sys org following cardiac bypass,Postprocedural hemorrhage of a circulatory system organ or structure following cardiac bypass,Postprocedural hemorrhage of a circulatory system organ or structure following a circulatory system procedure
I9761,8,I97618,Postproc hemor of a circ sys org fol other circ sys proc,Postprocedural hemorrhage of a circulatory system organ or structure following other circulatory system procedure,Postprocedural hemorrhage of a circulatory system organ or structure following a circulatory system procedure
I9762,0,I97620,Postproc hemor of a circ sys org following other procedure,Postprocedural hemorrhage of a circulatory system organ or structure following other procedure,"Postprocedural hemorrhage, hematoma and seroma of a circulatory system organ or structure following other procedure"
I9762,1,I97621,Postproc hematoma of a circ sys org fol other procedure,Postprocedural hematoma of a circulatory system organ or structure following other procedure,"Postprocedural hemorrhage, hematoma and seroma of a circulatory system organ or structure following other procedure"
I9762,2,I97622,Postproc seroma of a circ sys org following other procedure,Postprocedural seroma of a circulatory system organ or structure following other procedure,"Postprocedural hemorrhage, hematoma and seroma of a circulatory system organ or structure following other procedure"
I9763,0,I97630,Postproc hematoma of a circ sys org following a cardiac cath,Postprocedural hematoma of a circulatory system organ or structure following a cardiac catheterization,Postprocedural hematoma of a circulatory system organ or structure following a circulatory system procedure
I9763,1,I97631,Postproc hematoma of a circ sys org following cardiac bypass,Postprocedural hematoma of a circulatory system organ or structure following cardiac bypass,Postprocedural hematoma of a circulatory system organ or structure following a circulatory system procedure
I9763,8,I97638,Postproc hematoma of a circ sys org fol other circ sys proc,Postprocedural hematoma of a circulatory system organ or structure following other circulatory system procedure,Postprocedural hematoma of a circulatory system organ or structure following a circulatory system procedure
I9764,0,I97640,Postproc seroma of a circ sys org following a cardiac cath,Postprocedural seroma of a circulatory system organ or structure following a cardiac catheterization,Postprocedural seroma of a circulatory system organ  or structure following a circulatory system procedure
I9764,1,I97641,Postproc seroma of a circ sys org following cardiac bypass,Postprocedural seroma of a circulatory system organ or structure following cardiac bypass,Postprocedural seroma of a circulatory system organ  or structure following a circulatory system procedure
I9764,8,I97648,Postproc seroma of a circ sys org fol other circ sys proc,Postprocedural seroma of a circulatory system organ or structure following other circulatory system procedure,Postprocedural seroma of a circulatory system organ  or structure following a circulatory system procedure
I9771,0,I97710,Intraoperative cardiac arrest during cardiac surgery,Intraoperative cardiac arrest during cardiac surgery,Intraoperative cardiac arrest
I9771,1,I97711,Intraoperative cardiac arrest during other surgery,Intraoperative cardiac arrest during other surgery,Intraoperative cardiac arrest
I9779,0,I97790,Oth intraop cardiac functn disturb during cardiac surgery,Other intraoperative cardiac functional disturbances during cardiac surgery,Other intraoperative cardiac functional disturbances
I9779,1,I97791,Oth intraop cardiac functional disturb during oth surgery,Other intraoperative cardiac functional disturbances during other surgery,Other intraoperative cardiac functional disturbances
I9781,0,I97810,Intraoperative cerebvasc infarction during cardiac surgery,Intraoperative cerebrovascular infarction during cardiac surgery,Intraoperative cerebrovascular infarction
I9781,1,I97811,Intraoperative cerebrovascular infarction during oth surgery,Intraoperative cerebrovascular infarction during other surgery,Intraoperative cerebrovascular infarction
I9782,0,I97820,Postproc cerebvasc infarction following cardiac surgery,Postprocedural cerebrovascular infarction following cardiac surgery,Postprocedural cerebrovascular infarction
I9782,1,I97821,Postprocedural cerebvasc infarction following other surgery,Postprocedural cerebrovascular infarction following other surgery,Postprocedural cerebrovascular infarction
I9788,,I9788,"Oth intraoperative complications of the circ sys, NEC","Other intraoperative complications of the circulatory system, not elsewhere classified","Other intraoperative complications of the circulatory system, not elsewhere classified"
I9789,,I9789,"Oth postproc comp and disorders of the circ sys, NEC","Other postprocedural complications and disorders of the circulatory system, not elsewhere classified","Other postprocedural complications and disorders of the circulatory system, not elsewhere classified"
I99,8,I998,Other disorder of circulatory system,Other disorder of circulatory system,Other and unspecified disorders of circulatory system
I99,9,I999,Unspecified disorder of circulatory system,Unspecified disorder of circulatory system,Other and unspecified disorders of circulatory system
J00,,J00,Acute nasopharyngitis [common cold],Acute nasopharyngitis [common cold],Acute nasopharyngitis [common cold]
J010,0,J0100,"Acute maxillary sinusitis, unspecified","Acute maxillary sinusitis, unspecified",Acute maxillary sinusitis
J010,1,J0101,Acute recurrent maxillary sinusitis,Acute recurrent maxillary sinusitis,Acute maxillary sinusitis
J011,0,J0110,"Acute frontal sinusitis, unspecified","Acute frontal sinusitis, unspecified",Acute frontal sinusitis
J011,1,J0111,Acute recurrent frontal sinusitis,Acute recurrent frontal sinusitis,Acute frontal sinusitis
J012,0,J0120,"Acute ethmoidal sinusitis, unspecified","Acute ethmoidal sinusitis, unspecified",Acute ethmoidal sinusitis
J012,1,J0121,Acute recurrent ethmoidal sinusitis,Acute recurrent ethmoidal sinusitis,Acute ethmoidal sinusitis
J013,0,J0130,"Acute sphenoidal sinusitis, unspecified","Acute sphenoidal sinusitis, unspecified",Acute sphenoidal sinusitis
J013,1,J0131,Acute recurrent sphenoidal sinusitis,Acute recurrent sphenoidal sinusitis,Acute sphenoidal sinusitis
J014,0,J0140,"Acute pansinusitis, unspecified","Acute pansinusitis, unspecified",Acute pansinusitis
J014,1,J0141,Acute recurrent pansinusitis,Acute recurrent pansinusitis,Acute pansinusitis
J018,0,J0180,Other acute sinusitis,Other acute sinusitis,Other acute sinusitis
J018,1,J0181,Other acute recurrent sinusitis,Other acute recurrent sinusitis,Other acute sinusitis
J019,0,J0190,"Acute sinusitis, unspecified","Acute sinusitis, unspecified","Acute sinusitis, unspecified"
J019,1,J0191,"Acute recurrent sinusitis, unspecified","Acute recurrent sinusitis, unspecified","Acute sinusitis, unspecified"
J02,0,J020,Streptococcal pharyngitis,Streptococcal pharyngitis,Acute pharyngitis
J02,8,J028,Acute pharyngitis due to other specified organisms,Acute pharyngitis due to other specified organisms,Acute pharyngitis
J02,9,J029,"Acute pharyngitis, unspecified","Acute pharyngitis, unspecified",Acute pharyngitis
J030,0,J0300,"Acute streptococcal tonsillitis, unspecified","Acute streptococcal tonsillitis, unspecified",Streptococcal tonsillitis
J030,1,J0301,Acute recurrent streptococcal tonsillitis,Acute recurrent streptococcal tonsillitis,Streptococcal tonsillitis
J038,0,J0380,Acute tonsillitis due to other specified organisms,Acute tonsillitis due to other specified organisms,Acute tonsillitis due to other specified organisms
J038,1,J0381,Acute recurrent tonsillitis due to other specified organisms,Acute recurrent tonsillitis due to other specified organisms,Acute tonsillitis due to other specified organisms
J039,0,J0390,"Acute tonsillitis, unspecified","Acute tonsillitis, unspecified","Acute tonsillitis, unspecified"
J039,1,J0391,"Acute recurrent tonsillitis, unspecified","Acute recurrent tonsillitis, unspecified","Acute tonsillitis, unspecified"
J04,0,J040,Acute laryngitis,Acute laryngitis,Acute laryngitis and tracheitis
J041,0,J0410,Acute tracheitis without obstruction,Acute tracheitis without obstruction,Acute tracheitis
J041,1,J0411,Acute tracheitis with obstruction,Acute tracheitis with obstruction,Acute tracheitis
J042,,J042,Acute laryngotracheitis,Acute laryngotracheitis,Acute laryngotracheitis
J043,0,J0430,"Supraglottitis, unspecified, without obstruction","Supraglottitis, unspecified, without obstruction","Supraglottitis, unspecified"
J043,1,J0431,"Supraglottitis, unspecified, with obstruction","Supraglottitis, unspecified, with obstruction","Supraglottitis, unspecified"
J05,0,J050,Acute obstructive laryngitis [croup],Acute obstructive laryngitis [croup],Acute obstructive laryngitis [croup] and epiglottitis
J051,0,J0510,Acute epiglottitis without obstruction,Acute epiglottitis without obstruction,Acute epiglottitis
